word,language,
வடிவம்,1,
தண்டனை,1,
பெரும்,1,
என்று,1,
சொல்ல,1,
உதவும்,1,
குறைந்த,1,
வரி,1,
வேறுபடுகின்றன,1,
இதையொட்டி,1,
காரணம்,1,
மிகவும்,1,
அர்த்தம்,1,
முன்னால்,1,
நடவடிக்கை,1,
வலது,1,
சிறுவன்,1,
பழைய,1,
மிகவும்,1,
அதே,1,
அவர்,1,
அனைத்து,1,
அங்கு,1,
எப்போது,1,
மேலே,1,
பயன்பாடு,1,
உங்கள்,1,
வழி,1,
பற்றி,1,
பல,1,
பின்னர்,1,
அவர்கள்,1,
எழுத,1,
என்று,1,
போன்ற,1,
எனவே,1,
இவை,1,
அவரது,1,
நீண்ட,1,
செய்ய,1,
விஷயம்,1,
பார்க்க,1,
அவரை,1,
இரு,1,
உள்ளது,1,
பார்க்க,1,
மேலும்,1,
நாள்,1,
முடியும்,1,
போ,1,
வா,1,
செய்தது,1,
பல,1,
ஒலி,1,
எந்த,1,
மிகவும்,1,
மக்கள்,1,
என்னுடைய,1,
மேல்,1,
எனக்கு தெரியும்,1,
தண்ணீர்,1,
விட,1,
அழைப்பு,1,
முதல்,1,
யார்,1,
மே,1,
கீழே,1,
பக்க,1,
வருகிறது,1,
இப்பொழுது,1,
கண்டுபிடிக்க,1,
தலைவர்,1,
நிற்க,1,
சொந்த,1,
பக்கம்,1,
வேண்டும்,1,
நாட்டின்,1,
காணப்படும்,1,
பதில்,1,
பள்ளி,1,
வளர,1,
ஆய்வு,1,
இன்னும்,1,
அறிய,1,
ஆலை,1,
கவர்,1,
உணவு,1,
சூரிய,1,
நான்கு,1,
இடையே,1,
மாநில,1,
வைத்து,1,
கண்,1,
ஒருபோதும்,1,
கடந்த,1,
நாம்,1,
நினைத்தேன்,1,
நகரம்,1,
மரத்தில்,1,
கடந்து,1,
பண்ணை,1,
கடின,1,
தொடக்கத்தில்,1,
வலிமை,1,
கதை,1,
எண்ணினர்,1,
இதுவரை,1,
கடல்,1,
வரைய,1,
விட்டு,1,
தாமதமாக,1,
ரன்,1,
இல்லை,1,’
போது,1,
செய்தி,1,
நெருங்கிய,1,
இரவு,1,
உண்மையான,1,
வாழ்க்கை,1,
சில,1,
வடக்கில்,1,
புத்தகம்,1,
எடுத்து,1,
நடந்தது,1,
அறிவியல்,1,
சாப்பிட,1,
அறையில்,1,
நண்பர்,1,
தொடங்கியது,1,
யோசனை,1,
மீன்,1,
மலை,1,
நிறுத்த,1,
ஒருமுறை,1,
அடிப்படை,1,
செவி மடுத்து கேள்,1,
குதிரை,1,
வெட்டு,1,
உறுதியான,1,
பார்க்க,1,
வண்ண,1,
முகத்தை,1,
மரம்,1,
முக்கிய,1,
திறந்த,1,
தெரியவில்லை,1,
ஒன்றாக,1,
அடுத்த,1,
வெள்ளை,1,
குழந்தைகள்,1,
தொடங்கும்,1,
கிடைத்தது,1,
நடக்க,1,
உதாரணமாக,1,
எளிதாக்க,1,
காகித,1,
குழு,1,
எப்போதும்,1,
இசை,1,
அந்த,1,
இரண்டு,1,
குறி,1,
பெரும்பாலும்,1,
கடிதம்,1,
வரை,1,
மைல்,1,
ஆற்றில்,1,
கார்,1,
அடி,1,
பாதுகாப்பு,1,
இரண்டாவது,1,
போதுமான,1,
வெற்று,1,
பெண்,1,
வழக்கம்,1,
இளம்,1,
தயாராக,1,
மேலே,1,
எப்போதும்,1,
"சிவப்பு,",1,
பட்டியலில்,1,
எனினும்,1,
உணர,1,
பேச்சு,1,
பறவை,1,
விரைவில்,1,
உடல்,1,
நாய்,1,
குடும்ப,1,
நேரடி,1,
போஸ்,1,
விட்டு,1,
பாடல்,1,
அளவிட,1,
கதவை,1,
தயாரிப்பு,1,
கருப்பு,1,
குறுகிய,1,
எண்,1,
வர்க்கம்,1,
காற்று,1,
கேள்வி,1,
நடக்கும்,1,
முழுமையான,1,
கப்பல்,1,
பகுதி,1,
அரை,1,
ராக்,1,
பொருட்டு,1,
தீ,1,
தெற்கு,1,
பிரச்சனை,1,
துண்டு,1,
கூறினார்,1,
தெரிந்தது,1,
கடந்து,1,
முதல்,1,
மேல்,1,
முழுவதும்,1,
ராஜா,1,
தெருவில்,1,
அங்குல,1,
பெருக்கவும்,1,
எதுவும்,1,
நிச்சயமாக,1,
தங்க,1,
சக்கர,1,
முழு,1,
படை,1,
நீல,1,
பொருள்,1,
முடிவு,1,
மேற்பரப்பு,1,
ஆழமான,1,
நிலவு,1,
தீவின்,1,
கால்,1,
அமைப்பு,1,
பிஸியாக,1,
சோதனை,1,
பதிவு,1,
படகு,1,
பொது,1,
தங்க,1,
சாத்தியம்,1,
விமானம்,1,
ஸ்தானத்தில்,1,
உலர்,1,
தெரியவில்லை,1,
சிரிப்பு,1,
ஆயிரம்,1,
முன்பு,1,
ஓடி,1,
பார்க்க,1,
விளையாட்டு,1,
வடிவம்,1,
சமன்,1,
சூடான,1,
மிஸ்,1,
கொண்டு,1,
வெப்ப,1,
பனி,1,
டயர்,1,
கொண்டு வா,1,
ஆம்,1,
தொலைதூர,1,
நிரப்பவும்,1,
கிழக்கு,1,
வண்ணம்,1,
மொழி,1,
மத்தியில்,1,
அலகு,1,
அதிகாரத்தை,1,
நகரம்,1,
நன்றாக,1,
நிச்சயமான,1,
பறக்க,1,
விழ,1,
வழிவகுக்கும்,1,
அழ,1,
இருண்ட,1,
இயந்திரம்,1,
குறிப்பு,1,
காத்திருக்க,1,
திட்டம்,1,
எண்ணிக்கை,1,
நட்சத்திர,1,
பெட்டியில்,1,
பெயர்ச்சொல்,1,
துறையில்,1,
மீதமுள்ள,1,
சரியான,1,
முடிந்தது,1,
பவுண்டு,1,
செய்து,1,
அழகு,1,
இயக்கி,1,
நின்று,1,
கொண்டிருக்கிறது,1,
முன்,1,
கற்று,1,
வாரம்,1,
இறுதி,1,
கொடுத்தது,1,
பச்சை,1,
ஓ,1,
விரைவான,1,
அபிவிருத்தி,1,
கடல்,1,
சூடான,1,
இலவச,1,
நிமிடம்,1,
வலுவான,1,
சிறப்பு,1,
மனதில்,1,
பின்னால்,1,
தெளிவான,1,
வால்,1,
உற்பத்தி,1,
உண்மை,1,
விண்வெளி,1,
கேட்டது,1,
சிறந்த,1,
மணி,1,
சிறந்த,1,
உண்மை,1,
போது,1,
நூறு,1,
ஐந்து,1,
நினைவில்,1,
படி,1,
ஆரம்ப,1,
நடத்த,1,
மேற்கே,1,
தரையில்,1,
வட்டி,1,
அடைய,1,
வேகமாக,1,
வினை,1,
பாட,1,
கேட்க,1,
ஆறு,1,
அட்டவணை,1,
பயண,1,
குறைவான,1,
காலையில்,1,
பத்து,1,
எளிமையான,1,
பல,1,
உயிர்,1,
நோக்கி,1,
போர்,1,
போட,1,
எதிரான,1,
அமைப்பு,1,
மெதுவாக,1,
சென்டர்,1,
காதல்,1,
நபர்,1,
பணத்தை,1,
சேவை,1,
தோன்றும்,1,
சாலை,1,
வரைபடத்தை,1,
மழை,1,
ஆட்சி,1,
ஆட்சி,1,
இழுக்க,1,
குளிர்,1,
அறிவிப்பு,1,
குரல்,1,
ஆற்றல்,1,
வேட்டை,1,
சாத்தியமான,1,
படுக்கையில்,1,
சகோதரர்,1,
முட்டை,1,
சவாரி,1,
செல்,1,
நம்பிக்கை,1,
ஒருவேளை,1,
எடுக்க,1,
திடீர்,1,
எண்ண,1,
சதுரம்,1,
காரணம்,1,
நீளம்,1,
பிரதிநிதித்துவம்,1,
கலை,1,
பொருள்,1,
பகுதி,1,
அளவு,1,
மாறுபடுகிறது,1,
குடியேற,1,
பேச,1,
எடை,1,
பொது,1,
பனி,1,
விஷயம்,1,
வட்டத்தின்,1,
ஜோடி,1,
சேர்க்கிறது,1,
பிளவை,1,
அசையாக,1,
உணர்ந்தேன்,1,
பெரும்,1,
பந்து,1,
இதுவரை,1,
அலை,1,
கைவிட,1,
இதய,1,
நான்,1,
தற்போதைய,1,
கனரக,1,
நடன,1,
இயந்திரம்,1,
நிலையை,1,
கை,1,
பரந்த,1,
புறப்பட்டது,1,
பொருள்,1,
பகுதி,1,
காட்டில்,1,
உட்கார,1,
இனம்,1,
சாளர,1,
கடையில்,1,
கோடை,1,
ரயில்,1,
தூக்கம்,1,
நிரூபிக்க,1,
தனி,1,
காலை,1,
உடற்பயிற்சி,1,
சுவர்,1,
ப,1,
ஏற்ற,1,
விரும்புகிறேன்,1,
வானத்தில்,1,
குழு,1,
மகிழ்ச்சி,1,
குளிர்காலத்தில்,1,
சனி,1,
எழுதப்பட்ட,1,
காட்டு,1,
கருவி,1,
வைத்து,1,
கண்ணாடி,1,
புல்,1,
மாடு,1,
வேலை,1,
விளிம்பில்,1,
அடையாளம்,1,
வருகை,1,
கடந்த,1,
மென்மையான,1,
வேடிக்கை,1,
பிரகாசமான,1,
எரிவாயு,1,
வானிலை,1,
மாதம்,1,
மில்லியன்,1,
தாங்க,1,
பூச்சு,1,
சந்தோஷமாக,1,
நம்பிக்கை,1,
மலர்,1,
உடை,1,
விசித்திரமான,1,
சென்று,1,
வர்த்தக,1,
மெல்லிசை,1,
பயணம்,1,
அலுவலகத்தில்,1,
பெற,1,
வரிசையில்,1,
வாயில்,1,
துல்லியமான,1,
சின்னம்,1,
இறக்க,1,
குறைந்தது,1,
சிக்கல்,1,
கத்தி,1,
"தவிர,",1,
எழுதியது,1,
விதை,1,
தொனி,1,
சேர,1,
பரிந்துரைக்கிறது,1,
சுத்தமான,1,
இடைவெளி,1,
பெண்,1,
முற்றத்தில்,1,
உயரும்,1,
கெட்ட,1,
அடியாக,1,
எண்ணெய்,1,
இரத்த,1,
தொட,1,
வளர்ந்தது,1,
சதவீதம்,1,
கலந்து,1,
அணி,1,
கம்பி,1,
செலவு,1,
இழந்தது,1,
பழுப்பு,1,
அணிய,1,
தோட்டத்தில்,1,
சம,1,
அனுப்பி,1,
தேர்வு,1,
விழுந்தது,1,
பொருந்தும்,1,
பாயும்,1,
நியாயமான,1,
வங்கி,1,
சேகரிக்க,1,
காப்பாற்ற,1,
கட்டுப்பாடு,1,
தசம,1,
காது,1,
வேறு,1,
மிகவும்,1,
வெடித்தது,1,
வழக்கு,1,
நடுத்தர,1,
கொலை,1,
மகன்,1,
ஏரியில்,1,
கணம்,1,
அளவில்,1,
உரத்த,1,
வசந்த,1,
அவதானிக்கவும்,1,
குழந்தை,1,
நேராக,1,
மெய்,1,
தேசிய,1,
அகராதியில்,1,
பால்,1,
வேக,1,
முறை,1,
உறுப்பு,1,
செலுத்த,1,
வயது,1,
பிரிவில்,1,
ஆடை,1,
மேகம்,1,
ஆச்சரியம்,1,
அமைதியான,1,
கல்,1,
சிறிய,1,
ஏறு மெதுவாக தொற்றி ஏறு,1,
குளிர்,1,
வடிவமைப்பு,1,
ஏழை,1,
நிறைய,1,
சோதனை,1,
கீழே,1,
முக்கிய,1,
இரும்பு,1,
ஒற்றை,1,
குச்சி,1,
பிளாட்,1,
இருபத்தி,1,
தோல்,1,
சிரிப்பு,1,
மடி,1,
ஓட்டை,1,
குதிக்க,1,
குழந்தை,1,
எட்டு,1,
கிராமம்,1,
சந்திக்க,1,
ரூட்,1,
வாங்க,1,
உயர்த்த,1,
தீர்க்க,1,
உலோக,1,
என்பதை,1,
மிகுதி,1,
ஏழு,1,
பத்தி,1,
மூன்றாவது,1,
போகலாமா,1,
நானும்,1,
முடி,1,
விவரிக்க,1,
சமையற்காரர்,1,
தரையில்,1,
ஒன்று,1,
இதன் விளைவாக,1,
எரிக்க,1,
மலை,1,
பாதுகாப்பான,1,
பூனை,1,
நூற்றாண்டின்,1,
கருத்தில்,1,
வகை,1,
சட்ட,1,
பிட்,1,
கடற்கரையில்,1,
பிரதியை,1,
சொற்றொடர்,1,
அமைதியாக,1,
உயரம்,1,
மணல்,1,
மண்,1,
ரோல்,1,
வெப்பநிலை,1,
விரல்,1,
தொழில்,1,
மதிப்பு,1,
சண்டை,1,
பொய்யை,1,
அடிக்க,1,
தூண்ட,1,
இயற்கை,1,
பார்வை,1,
உணர்வு,1,
தலைநகர்,1,
இல்லை,1,’
நாற்காலியில்,1,
ஆபத்து,1,
பழம்,1,
பணக்கார,1,
தடித்த,1,
சிப்பாய்,1,
செயல்முறை,1,
செயல்பட,1,
நடைமுறையில்,1,
தனி,1,
கடினமான,1,
மருத்துவர்,1,
தயவு செய்து,1,
காப்பாற்று,1,
நண்பகல்,1,
பயிர்,1,
நவீன,1,
உறுப்பு,1,
வெற்றி,1,
மாணவர்,1,
மூலையில்,1,
கட்சி,1,
வழங்கல்,1,
அதன்,1,
கண்டறிவது,1,
மோதிரத்தை,1,
பாத்திரம்,1,
பூச்சி,1,
பிடித்து,1,
காலம்,1,
குறிக்கிறது,1,
ரேடியோ,1,
பேசினார்,1,
அணுவின்,1,
மனித,1,
வரலாற்றில்,1,
விளைவு,1,
மின்சார,1,
எதிர்பார்க்க,1,
எலும்பு,1,
ரயில்,1,
கற்பனை,1,
எப்படி,1,
ஒப்புக்கொள்கிறேன்,1,
இவ்வாறு,1,
மென்மையான,1,
பெண்,1,
கேப்டன்,1,
யூகிக்க,1,
தேவையான,1,
கூர்மையான,1,
வலதுசாரி,1,
உருவாக்க,1,
அண்டை,1,
கழுவும்,1,
பேட்டிங்,1,
மாறாக,1,
கூட்டத்தில்,1,
சோளம்,1,
ஒப்பிட்டு,1,
கவிதையை,1,
சரம்,1,
மணி,1,
சார்ந்திருக்கிறது,1,
இறைச்சி,1,
துடைப்பான்,1,
குழாய்,1,
பிரபலமான,1,
டாலர்,1,
ஸ்ட்ரீம்,1,
பயம்,1,
பார்வை,1,
மெல்லிய,1,
முக்கோண,1,
கிரகத்தின்,1,
அவசரம்,1,
தலைமை,1,
காலனி,1,
கடிகார,1,
என்னுடைய,1,
டை,1,
நுழைய,1,
முக்கிய,1,
புதிய,1,
தேடல்,1,
அனுப்பு,1,
மஞ்சள்,1,
துப்பாக்கி,1,
அனுமதிக்க,1,
அச்சு,1,
இறந்த,1,
ஸ்பாட்,1,
பாலைவன,1,
வழக்கு,1,
நடப்பு,1,
லிப்ட்,1,
உயர்ந்தது,1,
வரும்,1,
மாஸ்டர்,1,
பாடல்,1,
பெற்றோர்,1,
கரையில்,1,
பிரிவு,1,
தாள்,1,
பொருள்,1,
சாதகமாக,1,
இணைக்க,1,
பின்,1,
செலவு,1,
நாண்,1,
கொழுப்பு,1,
மகிழ்ச்சி,1,
அசல்,1,
பங்கு,1,
நிலையம்,1,
தந்தை,1,
ரொட்டி,1,
வசூலிக்க,1,
முறையான,1,
பட்டியில்,1,
வாய்ப்பை,1,
பிரிவு,1,
அடிமை,1,
மூழ்கு,1,
உடனடி,1,
சந்தை,1,
பட்டம்,1,
விரிவுப்படுத்த,1,
குஞ்சு,1,
அன்பே,1,
பகைவன்,1,
பதில்,1,
பானம்,1,
ஏற்படும்,1,
ஆதரவு,1,
பேச்சு,1,
இயற்கையின்,1,
எல்லை,1,
நீராவி,1,
இயக்கம்,1,
பாதை,1,
திரவ,1,
புகுபதிகை,1,
பொருள்,1,
ஈவு,1,
பற்கள்,1,
ஷெல்,1,
கழுத்தில்,1,
ஆக்சிஜன்,1,
சர்க்கரை,1,
மரணம்,1,
அழகான,1,
திறன்,1,
பெண்கள்,1,
சீசன்,1,
தீர்வு,1,
கிரேடு,1,
வெள்ளி,1,
நன்றி,1,
கிளை,1,
போட்டியில்,1,
மை,1,
குறிப்பாக,1,
அத்தி,1,
பயம்,1,
பிரம்மாண்டமான,1,
அக்கா,1,
உருக்கு,1,
விவாதிக்க,1,
முன்னோக்கி,1,
இதே,1,
வழிகாட்ட,1,
அனுபவம்,1,
மதிப்பெண்,1,
ஆப்பிள்,1,
வாங்கி,1,
தலைமையிலான,1,
சுருதி,1,
கோட்,1,
வெகுஜன,1,
கார்டு,1,
இசைக்குழு,1,
கயிற்றில்,1,
சீட்டு,1,
வெற்றி,1,
கனவு,1,
மாலை,1,
நிலை,1,
ஜூன்,1,
கருவி,1,
மொத்த,1,
அடிப்படை,1,
மணம்,1,
பள்ளத்தாக்கில்,1,
அல்லது,1,
இரட்டை,1,
இருக்கை,1,
தொடர்ந்து,1,
தொகுதி,1,
விளக்கப்படம்,1,
தொப்பி,1,
விற்க,1,
வெற்றி,1,
நிறுவனம்,1,
கழித்தால்,1,
நிகழ்வு,1,
குறிப்பாக,1,
ஒப்பந்தம்,1,
து,1,
கால,1,
எதிர்,1,
மனைவி,1,
காலணி,1,
தோள்பட்டை,1,
பரவல்,1,
ஏற்பாடு,1,
முகாம்,1,
கண்டுபிடித்தல்,1,
பருத்தி,1,
பிறந்த,1,
தீர்மானிக்க,1,
பைண்டு அளவு,1,
ஒன்பது,1,
டிரக்,1,
சத்தம்,1,
நிலை,1,
வாய்ப்பு,1,
சேகரிக்க,1,
கடையை,1,
நீட்டிக்க,1,
தூக்கி,1,
பிரகாசி,1,
சொத்து,1,
பத்தியில்,1,
மூலக்கூறின்,1,
தேர்ந்தெடு,1,
தவறு,1,
முமுக்ஷுக்களும்,0,
மீண்டும்,1,
தேவைப்படுகிறது,1,
பரந்த,1,
தயார்,1,
"உப்பு,",1,
மூக்கு,1,
பன்மை,1,
கோபத்தை,1,
கூற்று,1,
கண்டத்தின்,1,
பரதத்வமென்றும்,1,
வேதநமென்றும்,1,
உபாஸநமென்றும்,1,
த்யாஜ்யமென்றும்,1,
சேஷமென்றும்,1,
நாமென்றும்,1,
யாமென்றும்,1,
பலமென்றும்,1,
உபாயமென்றும்,1,
புருஷார்த்தமென்றும்,1,
ஸ்வரூபமென்றும்,1,
வேதநமென்றும்,1,
உபாஸநமென்றும்,1,
த்யாஜ்யமென்றும்,1,
வேதமென்றும்,1,
சேஷமென்றும்,1,
நாமென்றும்,1,
யாமென்றும்,1,
பலமென்றும்,1,
உபாயமென்றும்,1,
புருஷார்த்தமென்றும்,1,
ஸ்வரூபமென்றும்,1,
பரதத்வமென்றும்,1,
உடையவனாகையாலே ,1,
தம்மதாகையாலே ,1,
கிடையாமையாலே ,1,
செய்யாமையாலே ,1,
கோலுகையாலே,1,
இனிதாயிருக்கையாலே ,1,
வருகையாலே ,1,
கிடக்கையாலே ,1,
கொடுக்கையாலே ,1,
கூடியல்லதிராமையாலே ,1,
தலையாலே ,1,
நன்மையாலே ,1,
போகாமையாலே,1,
சேர்த்தியாலே ,1,
தாரகமாகையாலே ,1,
பண்ணியிருக்கையாலே,1,
மாட்டாமையாலே ,1,
தங்குகையாலே ,1,
குடியாகையாலே,1,
கிடையாமையாலே ,1,
பண்ணுகையாலே,1,
தோற்றா,1,
நிற்கச்செய்தேயும்,1,
சொல்லுகையாலே ,1,
வேணுமாகில்,1,
அடியேன்,1,
அறியேன்,1,
பாவியேன்,1,
அறியேன்,1,
இசையேன்,1,
வினையேன் ,1,
அருவினையேன்,1,
புகலொன்றில்லாவடியேன்,1,
ஏற்புடையேன்,1,
அருவினையேன் ,1,
ச்ரமமுடையேன் ,1,
இசையேன்,1,
கலவிருக்கை,1,
அடியற்றிருக்கை,1,
அத்விதீயமாயிருக்கை,1,
யுடைத்தாயிருக்கை,1,
பரமபூஜ்யமாயிருக்கை,1,
முற்பட்டிருக்கை,1,
இடத்திருக்கை,1,
வந்திருக்கை,1,
செருக்கை,1,
விசதமாயிருக்கை,1,
அடுத்தவையாயிருக்கை,1,
திருக்கை,1,
ஆற்றவற்றாயிருக்கை,1,
ஆடினாற்போலேயிருக்கை,1,
இன்றிக்கேயிருக்கை,1,
உபகரித்தானாயிருக்கை ,1,
முகமாயிருக்கை,1,
என்றிருக்கை,1,
மின்றிக்கேயிருக்கை,1,
பாராதேயிருக்கை,1,
சொன்னதாயிருக்கை,1,
வீற்றிருக்கை,1,
மூர்த்தாபிஷிக்தையாயிருக்கை,1,
இல்லையாம்படியிருக்கை,1,
அநுபவவிநாச்யமாயிருக்கை,1,
பழையதாயிருக்கை,1,
உடையனாயிருக்கை,1,
சங்கிக்கவேண்டும்படியிருக்கை,1,
சமைந்திருக்கை,1,
புரையின்றிக்கேயிருக்கை,1,
அநபிபவநீயனாயிருக்கை,1,
பார்த்துக்கொண்டிருக்கை,1,
ஒத்திருக்கை,1,
புஷ்கலமாயிருக்கை,1,
உடைத்தாயிருக்கை,1,
போந்திருக்கை,1,
துயர்தீர்ந்தனாயிருக்கை,1,
க்ஷணிகமென்றிருக்கை,1,
நசையறாதபடியாலே,1,
ஆகையாலே,1,
இராமையாலே,1,
காலமாகையாலே,1,
தவிர்க்கையாலே,1,
ப்ராப்தனாகையாலே,1,
வருகையாலே,1,
நெஞ்சாகையாலே ,1,
வாசியறிமவனாகையாலே ,1,
என்கையாலே,1,
அவ்வாசியறியுமவராகையாலே ,1,
பயசங்கையாலே  ,1,
நிர்வாஹகனாகையாலே,1,
கொடுத்துவிடுகையாலே,1,
கலக்கையாலே,1,
வ்ருத்தியாலே ,1,
நிற்கையாலே ,1,
நேர்நில்லாமையாலே ,1,
மாலையாலே ,1,
வழங்குகையாலே,1,
வகையாலே ,1,
வடிவாகையாலே ,1,
கொள்ளுமதாகையாலே,1,
ஈரக்கையாலே ,1,
விசதமாயிருக்கையாலே ,1,
ப்ரீதியாலே ,1,
முறையாலே ,1,
கொள்வாரில்லாமையாலே,1,
வாசகமென்கிற,1,
போகிறோமென்கிற,1,
ஜகத்காரணமென்கிற,1,
ஆடுமென்கிற,1,
அஹங்காரமென்கிற,1,
தேடிப்போகவேணுமோ,1,
சொல்லவேணுமோ,1,
வேணுமோ,1,
ஃபிளாஷ்,0,
அதிர்ஷ்டம்,0,
கரகோஷம்,0,
கஷ்டமான,0,
சந்தோஷம்,0,
சபாஷ்!,0,
சாம்பியன்ஷிப்,0,
சுஷி,0,
சோஷோன்,0,
ஜோஷ்,0,
டேனிஷ,0,
டேனிஷ்,0,
துரதிருஷ்டவசமாக,0,
துரதிருஷ்டவசமான,0,
துஷ்பிரயோகம்,0,
நஷ்டம்,0,
நிமிஷம்,0,
பின்னிஷ்,0,
புல்ஷிட்,0,
பேஷன்,0,
போலிஷ்,0,
மார்ஷல்,0,
மார்ஷ்மெல்லோ,0,
ரஷியன்,0,
ரஷ்யர்கள்,0,
ரஷ்யா,0,
ராஷ்ட்ரிய,0,
லக்ஷம்,0,
வாஷிங்டன்,0,
விதூஷகன்,0,
விஷம்,0,
விஷயங்களில்,0,
விஷயங்களை,0,
விஷயம்,0,
விஷ்ணு,0,
ஷாட்,0,
ஷாப்பிங்,0,
ஸ்பானிஷ்,0,
ஸ்பேனிஷ,0,
ஷாட்,0,
ஷாப்பிங்,0,
அர்ஜுனன்,0,
அர்ஜென்டினா,0,
அஸர்பைஜான்,0,
ஆக்ஸிஜன்,0,
இராஜஸ்தான்,0,
கஜாக்ஸ்தான்,0,
கெஜம்,0,
கேரேஜ்,0,
சாம்ராஜ்யம்,0,
ஜங்கிள்,0,
ஜனத்தொகை,0,
ஜனநாயக,0,
ஜனநாயகம்,0,
ஜனவரி,0,
ஜப்பான்,0,
ஜஸ்டின்,0,
ஜாக்கி,0,
ஜாக்சன்,0,
ஜானி,0,
ஜான்,0,
ஜாமீன்,0,
ஜாம்,0,
ஜார்ஜியன்,0,
ஜாஸ்,0,
ஜிபூட்டி,0,
ஜிம்,0,
ஜீன்ஸ்,0,
ஜீவனுள்ள,0,
ஜுவான்,0,
ஜூடி,0,
ஜூன்,0,
ஜூலி,0,
ஜூலியா,0,
ஜூலை,0,
ஜெஃப்,0,
ஜெசிகா,0,
ஜெட்,0,
ஜெனிபர்,0,
ஜெர்சி,0,
ஜெர்மனி,0,
ஜெர்மன்,0,
என்கையாலே,1,
அவ்வாசியறியுமவராகையாலே ,1,
பயசங்கையாலே  ,1,
நிர்வாஹகனாகையாலே,1,
கொடுத்துவிடுகையாலே,1,
கலக்கையாலே,1,
வ்ருத்தியாலே ,1,
நிற்கையாலே ,1,
நேர்நில்லாமையாலே ,1,
மாலையாலே ,1,
வழங்குகையாலே,1,
வகையாலே ,1,
வடிவாகையாலே ,1,
கொள்ளுமதாகையாலே,1,
ஈரக்கையாலே ,1,
விசதமாயிருக்கையாலே ,1,
வாசகமென்கிற,1,
போகிறோமென்கிற,1,
ஜகத்காரணமென்கிற,1,
ஆடுமென்கிற,1,
அஹங்காரமென்கிற,1,
தேடிப்போகவேணுமோ,1,
சொல்லவேணுமோ,1,
தஜிகிஸ்தான்,0,
நாஜி,0,
நைட்ரஜன்,0,
பழுவறைஜுரம்,0,
பூஜியம்,0,
பெய்ஜிங்,0,
பெல்ஜியம்,0,
ராஜஸ்தான்,0,
ராஜா,0,
ரோஜர்,0,
ரோஜா,0,
ரோஜாக்கள்,0,
விஜயம்,0,
விஜய்,0,
வெகுஜன,0,
ஹைட்ரஜன்,0,
ஜாலம்,0,
அஸர்பைஜான்,0,
கஜாக்ஸ்தான்,0,
ஜாக்கி,0,
ஜாக்சன்,0,
ஜானி,0,
ஜான்,0,
ஜாமீன்,0,
ஜாம்,0,
ஜார்ஜியன்,0,
ஜாஸ்,0,
ராஜா,0,
ரோஜா,0,
ரோஜாக்கள்,0,
அந்தஸ்து,0,
அலெக்ஸ்,0,
அவுஸ்திரேலியா,0,
ஆகஸ்டு,0,
ஆகஸ்ட்,0,
ஆந்த்ராக்ஸ்,0,
ஆப்கானிஸ்தான்,0,
ஆம்புலன்ஸ்,0,
ஆர்லியன்ஸ்,0,
